Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201303;2. Albacete;117848.11;47995.58;69852.53;78654.74;35680.58;42974.16;8437.63;1827.53;6610.11;2526.42;2440.68;85.74;25495.21;7645.26;17849.95;2734.11;401.53;2332.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;3. Alicante;519917.63;235519.05;284395.58;381406.42;182924.32;198479.11;17140.74;5944.47;11196.26;9370.53;8778.26;592.26;107256.21;36695.11;70561.11;2779.74;917.32;1862.42;1835.42;258.74;1576.68;128.58;0.84;127.74;0.00;0.00;0.00
201303;4. Almeria;244415.37;108269.53;136144.84;139510.11;69975.74;69534.37;49148.32;17289.89;31858.42;3047.74;2939.47;107.26;38272.63;13720.79;24551.84;13727.63;4306.74;9420.89;623.95;31.89;592.05;85.00;5.00;80.00;0.00;0.00;0.00
201303;5. Avila;48241.16;21233.42;27006.74;31458.26;15751.53;15706.74;1255.42;308.53;946.89;1190.05;1149.68;39.37;11581.11;3531.32;8049.79;2756.32;492.37;2263.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;6. Badajoz;220132.47;95512.63;124619.84;133089.21;63868.89;69220.32;37469.79;14666.63;22803.16;3304.00;3217.32;86.68;39990.00;12550.32;27439.68;6279.47;1209.47;5070.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;7. Baleares;358209.00;165580.21;192627.79;265358.74;128304.79;137053.95;2491.74;370.84;2120.89;12122.63;10459.00;1662.63;75063.74;25543.16;49520.58;1622.16;700.42;921.74;1322.95;193.00;1129.95;227.05;9.00;218.05;0.00;0.00;0.00
201303;8. Barcelona;2170296.79;1036295.11;1133993.05;1739720.16;855763.47;883952.05;5017.16;815.95;4201.21;56941.95;53000.37;3940.58;362823.11;125695.00;237125.11;2784.00;794.26;1989.74;2880.89;219.63;2661.26;129.53;6.42;123.11;0.00;0.00;0.00
201303;9. Burgos;134991.11;58597.79;76392.32;102362.05;46058.37;56302.68;1277.63;180.58;1097.05;2946.58;2845.05;101.53;23787.84;8183.47;15604.37;4617.00;1330.32;3286.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;10. Caceres;131915.53;58872.05;73042.47;78693.63;37977.21;40715.42;21415.00;9262.53;12152.47;2187.63;2115.68;71.95;25431.53;8453.00;16978.53;4187.74;1063.63;3124.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;11. Cadiz;314873.16;139771.84;175101.32;224552.42;101863.68;122688.74;29034.47;15735.00;13299.47;5059.11;4729.37;329.74;50502.05;17003.58;33498.47;1570.42;350.00;1220.42;3911.89;84.21;3827.68;242.79;6.00;236.79;0.00;0.00;0.00
